date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2015-05-27,sz.300467,44.5500,48.6000,44.5500,48.6000,33.7500,1500,70875.0000,3,0.015000,1,44.000000,0
2015-05-28,sz.300467,53.4600,53.4600,53.4600,53.4600,48.6000,1000,53460.0000,3,0.010000,1,10.000000,0
2015-05-29,sz.300467,58.8100,58.8100,58.8100,58.8100,53.4600,2000,117620.0000,3,0.020000,1,10.007500,0
2015-06-01,sz.300467,64.6900,64.6900,64.6900,64.6900,58.8100,500,32345.0000,3,0.005000,1,9.998300,0
2015-06-02,sz.300467,71.1600,71.1600,71.1600,71.1600,64.6900,700,49812.0000,3,0.007000,1,10.001500,0
2015-06-03,sz.300467,78.2800,78.2800,78.2800,78.2800,71.1600,300,23484.0000,3,0.003000,1,10.005600,0
2015-06-04,sz.300467,86.1100,86.1100,86.1100,86.1100,78.2800,1100,94721.0000,3,0.011000,1,10.002600,0
2015-06-05,sz.300467,94.7200,94.7200,94.7200,94.7200,86.1100,1500,142080.0000,3,0.015000,1,9.998800,0
2015-06-08,sz.300467,104.1900,104.1900,104.1900,104.1900,94.7200,2100,218799.0000,3,0.021000,1,9.997900,0
2015-06-09,sz.300467,114.6100,114.6100,114.6100,114.6100,104.1900,3900,446979.0000,3,0.039000,1,10.001000,0
2015-06-10,sz.300467,126.0700,126.0700,126.0700,126.0700,114.6100,2200,277354.0000,3,0.022000,1,9.999100,0
2015-06-11,sz.300467,138.6800,138.6800,138.6800,138.6800,126.0700,700,97076.0000,3,0.007000,1,10.002400,0
2015-06-12,sz.300467,152.5500,152.5500,152.5500,152.5500,138.6800,2200,335610.0000,3,0.022000,1,10.001400,0
2015-06-15,sz.300467,167.8100,167.8100,167.8100,167.8100,152.5500,9200,1543852.0000,3,0.092000,1,10.003300,0
2015-06-16,sz.300467,184.5900,184.5900,184.5900,184.5900,167.8100,35050,6469879.0000,3,0.350500,1,9.999400,0
2015-06-17,sz.300467,203.0500,203.0500,203.0500,203.0500,184.5900,34681,7041977.0000,3,0.346810,1,10.000500,0
2015-06-18,sz.300467,223.3600,223.3600,223.3600,223.3600,203.0500,35750,7985120.0000,3,0.357500,1,10.002500,0
